         1920208 function calls (1889728 primitive calls) in 2.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4492    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap>:162(__enter__)
      877    0.006    0.000    0.062    0.000 __init__.py:39(_add_op_to_registry)
 1170/241    0.006    0.000    0.013    0.000 _compiler.py:37(_compile)
     4492    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:74(__new__)
     8706    0.006    0.000    0.009    0.000 enum.py:691(__call__)
    21495    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
     3849    0.005    0.000    0.015    0.000 artist.py:1557(aliased_name)
       27    0.005    0.000    0.007    0.000 _hook_iterator.py:122(hook_iterator)
      113    0.005    0.000    0.087    0.001 autograd.py:23(make_autograd_impl)
   1046/1    0.005    0.000    0.004    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
      107    0.005    0.000    0.197    0.002 artist.py:1600(pprint_setters)
    997/1    0.005    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1016(exec_module)
     1126    0.005    0.000    0.069    0.000 _ops.py:1207(__getattr__)
     1074    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
     1226    0.005    0.000    0.011    0.000 enum.py:350(__setitem__)
     1064    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.005    0.005    0.032    0.032 {built-in method torch._C._initExtension}
       17    0.005    0.000    0.005    0.000 {method 'readlines' of '_io._IOBase' objects}
     1500    0.005    0.000    0.007    0.000 inspect.py:176(get_annotations)
    34997    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
     4492    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.004    0.004    0.004    0.004 {built-in method torch._C._c10d_init}
     1057    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
    19378    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
      243    0.004    0.000    0.033    0.000 traceback.py:249(extract_stack)
      243    0.004    0.000    0.028    0.000 traceback.py:449(_extract_from_extended_frame_gen)
     5293    0.004    0.000    0.045    0.000 __init__.py:174(search)
